# 2024-05-29
# Data taken from the EDQM Standard Terms database (http://standardterms.edqm.eu) with the permission of the European Directorate for the Quality of Medicines & HealthCare, Council of Europe (EDQM).
"CLASS";"CODE";"SYNONYME"
"PDF";"11112000";"Pulver zur Herstellung eines Dampfs zur Inhalation"
"PDF";"11113000";"Kapsel zur Herstellung eines Dampfs zur Inhalation"
"PDF";"11114000";"Lösung zur Herstellung eines Dampfs zur Inhalation"
"PDF";"11115000";"Tablette zur Herstellung eines Dampfs zur Inhalation"
"PDF";"11116000";"Salbe zur Herstellung eines Dampfs zur Inhalation"
"PDF";"11117000";"Flüssigkeit zur Herstellung eines Dampfs zur Inhalation"
"PDF";"11118000";"Inhalationsgas"
"PDF";"11201000";"Injektionslösung"
"PDF";"11202000";"Injektionssuspension"
"PDF";"11203000";"Emulsion zur Injektion"
"PDF";"11204000";"Gel zur Injektion"
"PDF";"11205000";"Pulver zur Herstellung einer Injektionslösung"
"PDF";"11206000";"Pulver zur Herstellung einer Injektionssuspension"
"PDF";"11208400";"Pulver zur Herstellung einer Depot-Injektionssuspension"
"PDF";"11208500";"Depot-Injektionssuspension"
"PDF";"11209000";"Konzentrat zur Herstellung einer Injektionslösung"
"PDF";"11209500";"Kardioplege Lösung"
"PDF";"11210000";"Infusionslösung"
"PDF";"11211000";"Emulsion zur Infusion"
"PDF";"11211500";"Pulver zur Herstellung einer Infusionsdispersion"
"PDF";"11212000";"Pulver zur Herstellung einer Infusionslösung"
"PDF";"11213000";"Konzentrat zur Herstellung einer Infusionslösung"
"PDF";"11216000";"Lösungsmittel zur Herstellung von Parenteralia"
"PDF";"11301000";"Implantat"
"PDF";"11302000";"Tablette zur Implantation"
"PDF";"11303000";"Kette zur Implantation"
"PDF";"11303300";"Matrix zur Implantation"
"PDF";"11303500";"Suspension zur Implantation"
"PDF";"11401000";"Peritonealdialyselösung"
"PDF";"11402000";"Hämofiltrationslösung"
"PDF";"11403000";"Hämodiafiltrationslösung"
"PDF";"11404000";"Hämodialyselösung"
"PDF";"11405000";"Konzentrat zur Herstellung einer Hämodialyselösung"
"PDF";"11501000";"Lösung zur intravesikalen Anwendung"
"PDF";"11502000";"Blasenspüllösung"
"PDF";"11502500";"Lösung zur intravesikalen Anwendung"
"PDF";"11503000";"Pulver zur Herstellung einer Blasenspüllösung"
"PDF";"11504000";"Gel zur Anwendung in der Harnröhre"
"PDF";"11505000";"Stäbchen zur Anwendung in der Harnröhre"
"PDF";"11601000";"Lösung zur endotracheopulmonalen Instillation"
"PDF";"11602000";"Pulver zur Herstellung einer Lösung zur endotracheopulmonalen Instillation"
"PDF";"11603000";"Suspension zur endotracheopulmonalen Instillation"
"PDF";"11701000";"Gel zur endozervikalen Anwendung"
"PDF";"11901000";"Intrauterines Wirkstofffreisetzungssystem"
"PDF";"12101000";"Lack für die Gebisskontaktfläche"
"PDF";"12102000";"Stabilisatorlösung für Blutkonserven"
"PDF";"12103000";"Lösung zur Modifikation einer Blutfraktion"
"PDF";"12104000";"Wundstäbchen"
"PDF";"12105000";"Markerzubereitung"
"PDF";"12106000";"Radionuklidgenerator"
"PDF";"12107000";"Kit für ein radioaktives Arzneimittel"
"PDF";"12108000";"Lösung zur gastrointestinalen Anwendung"
"PDF";"12109000";"Dispersion"
"PDF";"12110000";"Suspension zur gastrointestinalen Anwendung"
"PDF";"12111000";"Emulsion zur gastrointestinalen Anwendung"
"PDF";"12111500";"Lösung zur intraperitonealen Awendung"
"PDF";"12112000";"Organkonservierungslösung"
"PDF";"12113000";"Spüllösung"
"PDF";"12114000";"Magenspülflüssigkeit"
"PDF";"12115000";"Gewebekleber"
"PDF";"12115100";"Versiegelungsmatrix"
"PDF";"12115200";"Gewebekleber"
"PDF";"12117000";"Imprägnierter Tampon"
"PDF";"12117500";"Imprägnierter Einsatz"
"PDF";"12118000";"lebendes Gewebeäquivalent"
"PDF";"12119000";"wirkstoffhaltiges Schwämmchen"
"PDF";"12120000";"Gel zur intestinalen Anwendung"
"PDF";"12130000";"wirkstoffhaltiger Faden"
"PDF";"12131000";"Provokationstestlösung"
"PDF";"12301000";"Gas zur medizinischen Anwendung, druckverdichtet"
"PDF";"12302000";"Gas zur medizinischen Anwendung, kälteverflüssigt"
"PDF";"12303000";"Gas zur medizinischen Anwendung, verflüssigt"
"PDF";"13001000";"Konzentrat für ein Konzentrat zur Herstellung einer Infusionslösung"
"PDF";"13002000";"Konzentrat zur Herstellung einer Lösung für einen Vernebler"
"PDF";"13003000";"Konzentrat zur Herstellung einer Lösung zur Anwendung in der Mundhöhle"
"PDF";"13004000";"Konzentrat zur Herstellung einer Injektionssuspension"
"PDF";"13005000";"Dispersion für ein Konzentrat zur Herstellung einer Infusionsdispersion"
"PDF";"13006000";"Pulver zur Herstellung einer Ohrentropfensuspension"
"PDF";"13007000";"Brausegranulat zur Herstellung einer Suspension zum Einnehmen"
"PDF";"13008000";"Emulsion zur Herstellung einer Emulsion zur Injektion"
"PDF";"13009000";"Pulver zu Herstellung einer Suspension zur endotracheopulmonalen Instillation"
"PDF";"13010000";"Pulver zur Herstellung von Augentropfen, Lösung"
"PDF";"13011000";"Pulver zur Herstellung einer Augentropfensuspension"
"PDF";"13012000";"Gas zur Herstellung einer Infusionsdispersion"
"PDF";"13013000";"Gas zur Herstellung einer Injektionsdispersion"
"PDF";"13014000";"Gel zur Herstellung eines Gels"
"PDF";"13015000";"Granulat zur Herstellung einer Rektalsuspension"
"PDF";"13016000";"Lösung zur Anwendung im Rachenraum und am Kehlkopf"
"PDF";"13017000";"Spray zur Anwendung im Rachenraum und am Kehlkopf, Lösung"
"PDF";"13018000";"Matrix für Matrix zur Implantation"
"PDF";"13020000";"Pulver zur Herstellung von Nasentropfen, Lösung"
"PDF";"13021000";"Pulver zur Herstellung eines Gels"
"PDF";"13022000";"Pulver zur Herstellung eines Dentalgels"
"PDF";"13023000";"Pulver zur Herstellung einer Injektionsdispersion"
"PDF";"13024000";"Pulver zur Herstellung eines Gels zur endozervikalen Anwendung"
"PDF";"13025000";"Pulver zur Herstellung einer Lösung zur Anwendung in den Nasennebenhöhlen"
"PDF";"13026000";"Pulver zur Herstellung eines Gels zur Anwendung am Zahnfleisch"
"PDF";"13027000";"Pulver für Matrix zur Implantation"
"PDF";"13028000";"Pulver zur Herstellung einer Paste für ein Implantat"
"PDF";"13029000";"Pulver zur Herstellung einer Instillationslösung zur intraokularen Anwendung"
"PDF";"13031000";"Pulver für einen Gewebekleber"
"PDF";"13032000";"Pulver zur Herstellung einer Pricktestlösung"
"PDF";"13033000";"Lösung zur Herstellung einer Injektionslösung"
"PDF";"13035000";"Lösungsmittel zur Herstellung..."
"PDF";"13036000";"Suspension zur Herstellung einer Emulsion zur Injektion"
"PDF";"13037000";"Suspension zur Herstellung einer Suspension zum Einnehmen"
"PDF";"13039000";"Suspension zur Herstellung einer Injektionssuspension"
"PDF";"13040000";"Pulver zur Herstellung einer Emulsion zur Injektion"
"PDF";"13041000";"Lösung zur Anwendung in den Nebenhöhlen"
"PDF";"13042000";"Lösung zum Auftragen auf die Haut"
"PDF";"13043000";"Paste für Implantate"
"PDF";"13044000";"Lösung zur intraokularen Instillation"
"PDF";"13045000";"Suspension zur intravesikalen Anwendung"
"PDF";"13046000";"Überzogenes Granulat"
"PDF";"13047000";"Lösung zur Herstellung einer Injektionssuspension"
"PDF";"13048000";"Granulat zur Herstellung einer Injektionssuspension"
"PDF";"13049000";"Dispersion zur Injektion /Infusion"
"PDF";"13050000";"Gas zur Herstellung einer Injektions-/Infusionsdispersion"
"PDF";"13051000";"Injektionslösung/ Pricktestlösung"
"PDF";"13052000";"Pulver zur Herstellung einer Injektionslösung/Pricktestlösung"
"PDF";"13061000";"Lösung zur Herstellung einer Infusionslösung"
"PDF";"13066000";"Tablette zur Herstellung einer Lösung zur Anwendung auf der Haut"
"PDF";"13076000";"Depot-Injektionslösung"
"PDF";"13077000";"Emulsion zur Anwendung in der Harnröhre"
"PDF";"13091000";"Emulsion zur Herstellung einer Injektionssuspension"
"PDF";"13102000";"Transdermale Salbe"
"PDF";"13105000";"Pulver zur sublingualen Anwendung"
"PDF";"13106000";"Pflanzenteile zum Einnehmen"
"PDF";"13107000";"Kardioplege Lösung/Organkonservierungslösung"
"PDF";"13111000";"Pulver zur Herstellung einer Vaginallösung"
"PDF";"13113000";"Gel zur intrauterinen Anwendung"
"PDF";"13115000";"Blutegel zur medizinischen Anwendung"
"PDF";"13118000";"Tablette mit Sensor"
"PDF";"13123000";"Salbe zur Anwendung in der Harnröhre"
"PDF";"13124000";"Larven zur medizinischen Anwendung"
"PDF";"13126000";"Depot-Injektionsdispersion"
"PDF";"13127000";"Lyophilisat zur sublingualen Anwendung"
"PDF";"13128000";"Wundlösung  mit verlängerter Wirkdauer"
"PDF";"13129000";"Dispersion für einen Vernebler"
"PDF";"13133000";"Magensaftresistente Suspension zum Einnehmen"
"PDF";"13134000";"Retardsuspension zum Einnehmen"
"PDF";"13135000";"Suspension zum Einnehmen mit veränderter Wirkstofffreisetzung"
"PDF";"13136000";"Magensaftresistentes Pulver zur Herstellung einer Suspension zum Einnehmen"
"PDF";"13139000";"Konzentrat zur Herstellung einer Injektionsdispersion"
"PDF";"13140000";"Lösung zur Anwendung auf der Haut und in der Mundhöhle"
"PDF";"13141000";"Beutelchen zur Anwendung in der Mundhöhle"
"PDF";"13145000";"Imprägnierter Tupfer zur Anwendung auf der Haut"
"PDF";"13148000";"Retardvaginalzäpfchen"
"PDF";"13149000";"Film zur Anwendung in der Mundhöhle"
"PDF";"13152000";"Konzentrat zur Herstellung einer Emulsion zur Injektion"
"PDF";"13154000";"filmüberzogenes Granulat"
"PDF";"13159000";"Augentropfen, Lösung mit verlängerter Wirkungsdauer"
"PDF";"13162000";"Konzentrat zur Herstellung einer Emulsion zur Anwendung auf der Haut"
"PDF";"13165000";"Suspension zur Herstellung eines Gels"
"PDF";"13167000";"Tropfen  zur Anwendung in der Mundhöhle, Emulsion"
"PDF";"13168000";"Tropfen  zur Anwendung in der Mundhöhle, Lösung"
"PDF";"13169000";"Tropfen  zur Anwendung in der Mundhöhle, Suspension"
"PDF";"13175000";"Retardkautablette"
"PDF";"13176000";"Pulver zur Herstellung einer Retardsuspension zum Einnehmen"
"PDF";"13177000";"Granulat zu Herstellung einer magensaftresistenten Suspension zum Einnehmen"
"PDF";"13178000";"Pulver zur Herstellung einer magensaftresistenten Suspension zum Einnehmen"
"PDF";"13179000";"Granulat zur Herstellung einer Suspension mit veränderter Wirkstofffreisetzung zum Einnehmen"
"PDF";"13180000";"Granulat zur Herstellung einer Retardsuspension zum Einnehmen"
"PDF";"13184000";"Pulver zur Herstellung einer Provokationstestlösung"
"PDF";"13186000";"Gel zur Implantation"
"PDF";"13187000";"Dispersion zur Herstellung eines Gels zur Implantation"
"PDF";"13188000";"Lösung zur Herstellung eines Gels zur Implantation"
"PDF";"30047500";"Beutelchen"
"PDF";"50001000";"Kautablette/Tablette zur Herstellung einer Suspension zum Einnehmen"
"PDF";"50009000";"Konzentrat zur Herstellung eines Sprays zur Anwendung auf der Haut, Emulsion"
"PDF";"50009300";"Konzentrat zur Herstellung einer Infusionsdispersion"
"PDF";"50009500";"Konzentrat zur Herstellung einer Emulsion zur Infusion"
"PDF";"50009750";"Konzentrat zur Herstellung einer Lösung zur intravesikalen Anwendung"
"PDF";"50010000";"Konzentrat zur Herstellung einer Lösung zum Einnehmen"
"PDF";"50011000";"Konzentrat zur Herstellung einer Lösung zum Einnehmen /Rektallösung"
"PDF";"50013250";"Konzentrat zur Herstellung einer Peritonealdialyselösung"
"PDF";"50015200";"Salbe zur Anwendung auf der Haut/Nasensalbe"
"PDF";"50015450";"Lösung zur Anwendung auf der Haut/Konzentrat zur Herstellung einer Lösung zur Anwendung in der Mundhöhle"
"PDF";"50015500";"Spray zur Anwendung auf der Haut, Emulsion"
"PDF";"50016000";"Spray zur Anwendung auf der Haut, Salbe"
"PDF";"50017000";"Dentalpaste"
"PDF";"50017500";"Infusionsdispersion"
"PDF";"50018000";"Augen-/Ohrentropfen, Lösung"
"PDF";"50018500";"Augen-/Ohrentropfen, Suspension"
"PDF";"50019000";"Augen-/Ohrensalbe"
"PDF";"50019500";"Augen-/Ohren-/Nasentropfen, Lösung"
"PDF";"50020200";"Ohren-/Nasentropfen, Suspension"
"PDF";"50021000";"Emulsion zur Injektion/Infusion"
"PDF";"50022000";"Nebenhöhlenspülung, Suspension"
"PDF";"50024000";"Gurgellösung/Mundspülung"
"PDF";"50024500";"Gurgellösung/Nasenspülung"
"PDF";"50026000";"magensaftresistentes Granulat zur Herstellung einer Suspension zum Einnehmen"
"PDF";"50029150";"Granulat zur Herstellung einer Suspension zum Einnehmen/Rektalsuspension"
"PDF";"50029500";"Granulat zur Herstellung einer Vaginallösung"
"PDF";"50030000";"Tablette mit Pulver zur Inhalation"
"PDF";"50031000";"Brausetablette zur Herstellung eines Dampfs zur Inhalation"
"PDF";"50032000";"Emulsion zur Herstellung eines Dampfs zur Inhalation"
"PDF";"50033000";"Dampf zur Inhalation, imprägnierter Einsatz"
"PDF";"50033100";"Dampf zur Inhalation, imprägnierter Einsatz"
"PDF";"50033400";"Lösung zur intravesikalen Anwendung/Injektionslösung"
"PDF";"50036000";"Granulat mit veränderter Wirkstofffreisetzung zur Herstellung einer Suspension zum Einnehmen"
"PDF";"50036050";"Pulver zur Herstellung einer Mundspülung, Lösung"
"PDF";"50036500";"Lösung zur nasalen Anwendung/Lösung zur Anwendung in der Mundhöhle"
"PDF";"50036700";"Nasenspray und Spray zur Anwendung in der Mundhöhle, Lösung"
"PDF";"50037100";"Nasenspray, Pulver zur Herstellung einer Lösung"
"PDF";"50037400";"Nasenspray, Lösung/Lösung zur Anwendung in der Mundhöhle"
"PDF";"50037500";"Granulat zur Herstellung von Tropfen zum Einnehmen, Lösung"
"PDF";"50037750";"Tropfen zum Einnehmen, Flüssigkeit"
"PDF";"50037900";"Lösung zum Einnehmen/Rektallösung"
"PDF";"50038000";"Suspension zum Einnehmen/Rektalsuspension"
"PDF";"50038500";"Lösung zum Einnehmen/ Konzentrat zur Herstellung einer Lösung für einen Vernebler"
"PDF";"50039000";"Pflaster zur Anwendung in der Mundhöhle"
"PDF";"50039500";"Lösung zur Anwendung in der Mundhöhle/im Rachenraum und am Kehlkopf"
"PDF";"50040500";"Lösung/Spray zur Anwendung in der Mundhöhle/im Rachenraum oder am Kehlkopf, Lösung"
"PDF";"50043000";"Pulver für ein Konzentrat zur Herstellung einer Infusionslösung"
"PDF";"50048750";"Pulver für ein Konzentrat zur Herstellung einer Infusionsdispersion"
"PDF";"50049000";"Pulver für ein Konzentrat zur Herstellung einer Hämodialyselösung"
"PDF";"50049100";"Pulver für ein Konzentrat zur Herstellung einer Suspension zur intravesikalen Anwendung"
"PDF";"50049200";"Pulver für ein Konzentrat zur Herstellung einer Hämodialyselösung"
"PDF";"50049250";"Pulver für ein Konzentrat zur Herstellung einer Injektions-/Infusionslösung"
"PDF";"50049270";"Pulver zur Herstellung einer Dentallösung"
"PDF";"50049300";"Pulver zur Herstellung einer Lösung zum Auftragen auf die Wunde"
"PDF";"50049500";"Pulver zur Herstellung einer Suspension zur Implantation"
"PDF";"50050000";"Pulver zur Herstellung einer Lösung zur intravesikalen Anwendung"
"PDF";"50050500";"Pulver zur Herstellung einer Lösung zur intravesikalen Anwendung / Injektionslösung"
"PDF";"50051000";"Pulver zur Herstellung einer Suspension zur intravesikalen Anwendung"
"PDF";"50052000";"Pulver zur Herstellung einer Suspension zum Einnehmen/Rektalsuspension"
"PDF";"50053000";"Pulver zur Herstellung einer Injektions- bzw. Infusionslösung"
"PDF";"50053500";"Pulver zur Herstellung einer Injektions-/Infusionslösung"
"PDF";"50056000";"Retardgranulat zur Herstellung einer Suspension zum Einnehmen"
"PDF";"50056500";"Markerzubereitung, Lösung"
"PDF";"50057000";"Hämodialyselösung/Hämofiltrationslösung"
"PDF";"50060000";"Injektions-/Infusionslösung"
"PDF";"50061500";"Lösung für Gewebekleber"
"PDF";"50073000";"Pulver zur Herstellung einer Lösung zur intraokularen Anwendung"
"PDF";"50073500";"Lösung zur intraokularen Anwendung"
"PDF";"50074000";"Lösungsmittel zur Herstellung einer Lösung zur intraokularen Anwendung"
"PDF";"50076000";"Lösungsmittel zur Herstellung einer Infusionslösung"
