# 2024-05-27
# Data taken from the EDQM Standard Terms database (http://standardterms.edqm.eu) with the permission of the European Directorate for the Quality of Medicines & HealthCare, Council of Europe (EDQM).
"CLASS";"CODE";"NAME";"STATUS"
"PDF";"10323000";"Pastille";"Current"
"PDF";"10401000";"Periodontal powder";"Current"
"PDF";"10401500";"Dental cement";"Current"
"PDF";"10402000";"Dental gel";"Current"
"PDF";"10403000";"Dental stick";"Current"
"PDF";"10404000";"Dental insert";"Deprecated"
"PDF";"10405000";"Dental powder";"Current"
"PDF";"10406000";"Dental solution";"Current"
"PDF";"10407000";"Dental suspension";"Current"
"PDF";"10408000";"Dental emulsion";"Current"
"PDF";"10409000";"Toothpaste";"Current"
"PDF";"10410000";"Periodontal gel";"Current"
"PDF";"10411000";"Periodontal insert";"Current"
"PDF";"10413000";"Powder for dental cement";"Current"
"PDF";"10414000";"Solution for dental cement";"Current"
"PDF";"10501000";"Bath additive";"Current"
"PDF";"10502000";"Cream";"Current"
"PDF";"10503000";"Gel";"Current"
"PDF";"10504000";"Ointment";"Current"
"PDF";"10505000";"Cutaneous paste";"Current"
"PDF";"10506000";"Medicated plaster";"Current"
"PDF";"10507000";"Cutaneous foam";"Current"
"PDF";"10508000";"Shampoo";"Current"
"PDF";"10509000";"Cutaneous spray, solution";"Current"
"PDF";"10510000";"Cutaneous spray, suspension";"Current"
"PDF";"10511000";"Cutaneous spray, powder";"Current"
"PDF";"10512000";"Cutaneous liquid";"Current"
"PDF";"10513000";"Cutaneous solution";"Current"
"PDF";"10514000";"Concentrate for cutaneous solution";"Current"
"PDF";"10514500";"Powder for cutaneous solution";"Current"
"PDF";"10515000";"Cutaneous suspension";"Current"
"PDF";"10516000";"Cutaneous emulsion";"Current"
"PDF";"10517000";"Cutaneous powder";"Current"
"PDF";"10517500";"Cutaneous patch";"Current"
"PDF";"10518000";"Solution for iontophoresis";"Current"
"PDF";"10518500";"Powder for solution for iontophoresis";"Current"
"PDF";"10519000";"Transdermal patch";"Current"
"PDF";"10520000";"Collodion";"Current"
"PDF";"10521000";"Medicated nail lacquer";"Current"
"PDF";"10521500";"Nail solution";"Rejected"
"PDF";"10522000";"Poultice";"Current"
"PDF";"10523000";"Cutaneous stick";"Current"
"PDF";"10524000";"Cutaneous sponge";"Deprecated"
"PDF";"10525000";"Impregnated dressing";"Current"
"PDF";"10539250";"Scalp solution";"Rejected"
"PDF";"10539500";"Scrub";"Rejected"
"PDF";"10546250";"Transdermal gel";"Current"
"PDF";"10546400";"Transdermal solution";"Current"
"PDF";"10546500";"Transdermal spray, solution";"Current"
"PDF";"10547000";"Transdermal system";"Current"
"PDF";"10548000";"Solution for skin-prick test";"Current"
"PDF";"10549000";"Solution for skin-scratch test";"Current"
"PDF";"10550000";"Plaster for provocation test";"Current"
"PDF";"10600500";"Concentrate for solution for intraocular irrigation";"Current"
"PDF";"10601000";"Eye cream";"Current"
"PDF";"10602000";"Eye gel";"Current"
"PDF";"10603000";"Eye ointment";"Current"
"PDF";"10604000";"Eye drops, solution";"Current"
"PDF";"10604500";"Eye drops, emulsion";"Current"
"PDF";"10605000";"Eye drops, suspension";"Current"
"PDF";"10608000";"Eye drops, solvent for reconstitution";"Current"
"PDF";"10609000";"Eye drops, prolonged-release";"Deprecated"
"PDF";"10610000";"Eye lotion";"Current"
"PDF";"10611000";"Eye lotion, solvent for reconstitution";"Current"
"PDF";"10612000";"Ophthalmic insert";"Current"
"PDF";"10613000";"Ophthalmic strip";"Current"
"PDF";"10701000";"Ear cream";"Current"
"PDF";"10702000";"Ear gel";"Current"
"PDF";"10703000";"Ear ointment";"Current"
"PDF";"10704000";"Ear drops, solution";"Current"
"PDF";"10705000";"Ear drops, suspension";"Current"
"PDF";"10706000";"Ear drops, emulsion";"Current"
"PDF";"10708000";"Ear powder";"Current"
"PDF";"10709000";"Ear spray, solution";"Current"
"PDF";"10710000";"Ear spray, suspension";"Current"
"PDF";"10711000";"Ear spray, emulsion";"Current"
"PDF";"10712000";"Ear wash, solution";"Current"
"PDF";"10713000";"Ear wash, emulsion";"Current"
"PDF";"10714000";"Ear tampon";"Current"
"PDF";"10715000";"Ear stick";"Current"
"PDF";"10801000";"Nasal cream";"Current"
"PDF";"10802000";"Nasal gel";"Current"
"PDF";"10803000";"Nasal ointment";"Current"
"PDF";"10804000";"Nasal drops, solution";"Current"
"PDF";"10805000";"Nasal drops, suspension";"Current"
"PDF";"10806000";"Nasal drops, emulsion";"Current"
"PDF";"10807000";"Nasal powder";"Current"
"PDF";"10808000";"Nasal spray, solution";"Current"
"PDF";"10809000";"Nasal spray, suspension";"Current"
"PDF";"10810000";"Nasal spray, emulsion";"Current"
"PDF";"10811000";"Nasal wash";"Current"
"PDF";"10812000";"Nasal stick";"Current"
"PDF";"10900500";"Intravaginal ring";"Rejected"
"PDF";"10901000";"Vaginal cream";"Current"
"PDF";"10902000";"Vaginal gel";"Current"
"PDF";"10903000";"Vaginal ointment";"Current"
"PDF";"10904000";"Vaginal foam";"Current"
"PDF";"10905000";"Vaginal solution";"Current"
"PDF";"10906000";"Vaginal suspension";"Current"
"PDF";"10907000";"Vaginal emulsion";"Current"
"PDF";"10908000";"Tablet for vaginal solution";"Current"
"PDF";"10909000";"Pessary";"Current"
"PDF";"10910000";"Vaginal capsule, hard";"Current"
"PDF";"10911000";"Vaginal capsule, soft";"Current"
"PDF";"10912000";"Vaginal tablet";"Current"
"PDF";"10913000";"Effervescent vaginal tablet";"Current"
"PDF";"10914000";"Medicated vaginal tampon";"Current"
"PDF";"10915000";"Vaginal delivery system";"Current"
"PDF";"11001000";"Rectal cream";"Current"
"PDF";"11002000";"Rectal gel";"Current"
"PDF";"11003000";"Rectal ointment";"Current"
"PDF";"11004000";"Rectal foam";"Current"
"PDF";"11005000";"Rectal solution";"Current"
"PDF";"11006000";"Rectal suspension";"Current"
"PDF";"11007000";"Rectal emulsion";"Current"
"PDF";"11008000";"Concentrate for rectal solution";"Current"
"PDF";"11009000";"Powder for rectal solution";"Current"
"PDF";"11010000";"Powder for rectal suspension";"Current"
"PDF";"11011000";"Tablet for rectal solution";"Current"
"PDF";"11012000";"Tablet for rectal suspension";"Current"
"PDF";"11013000";"Suppository";"Current"
"PDF";"11014000";"Rectal capsule";"Current"
"PDF";"11015000";"Rectal tampon";"Current"
"PDF";"11100500";"Aerosol";"Rejected"
"PDF";"11101000";"Nebuliser solution";"Current"
"PDF";"11102000";"Nebuliser suspension";"Current"
"PDF";"11103000";"Powder for nebuliser suspension";"Current"
"PDF";"11104000";"Powder for nebuliser solution";"Current"
"PDF";"11105000";"Nebuliser emulsion";"Current"
"PDF";"11106000";"Pressurised inhalation, solution";"Current"
"PDF";"11107000";"Pressurised inhalation, suspension";"Current"
"PDF";"11108000";"Pressurised inhalation, emulsion";"Current"
"PDF";"11109000";"Inhalation powder";"Current"
"PDF";"11110000";"Inhalation powder, hard capsule";"Current"
"PDF";"11111000";"Inhalation powder, pre-dispensed";"Current"
"PDF";"11112000";"Inhalation vapour, powder";"Current"
"PDF";"11113000";"Inhalation vapour, capsule";"Current"
"PDF";"11114000";"Inhalation vapour, solution";"Current"
"PDF";"11115000";"Inhalation vapour, tablet";"Current"
"PDF";"11116000";"Inhalation vapour, ointment";"Current"
"PDF";"11117000";"Inhalation vapour, liquid";"Current"
"PDF";"11118000";"Inhalation gas";"Deprecated"
"PDF";"11201000";"Solution for injection";"Current"
"PDF";"11202000";"Suspension for injection";"Current"
"PDF";"11203000";"Emulsion for injection";"Current"
"PDF";"11204000";"Gel for injection";"Current"
"PDF";"11205000";"Powder for solution for injection";"Current"
"PDF";"11206000";"Powder for suspension for injection";"Current"
"PDF";"11208400";"Powder for prolonged-release suspension for injection";"Current"
"PDF";"11208500";"Prolonged-release suspension for injection";"Current"
"PDF";"11209000";"Concentrate for solution for injection";"Current"
"PDF";"11209500";"Solution for cardioplegia";"Current"
"PDF";"11210000";"Solution for infusion";"Current"
"PDF";"11211000";"Emulsion for infusion";"Current"
"PDF";"11211500";"Powder for dispersion for infusion";"Current"
"PDF";"11212000";"Powder for solution for infusion";"Current"
"PDF";"11213000";"Concentrate for solution for infusion";"Current"
"PDF";"11216000";"Solvent for parenteral use";"Current"
"PDF";"11301000";"Implant";"Current"
"PDF";"11302000";"Implantation tablet";"Current"
"PDF";"11303000";"Implantation chain";"Current"
"PDF";"11303300";"Implantation matrix";"Current"
"PDF";"11303500";"Implantation suspension";"Current"
"PDF";"11303750";"Kit for implant";"Rejected"
"PDF";"11401000";"Solution for peritoneal dialysis";"Current"
"PDF";"11402000";"Solution for haemofiltration";"Current"
"PDF";"11403000";"Solution for haemodiafiltration";"Current"
"PDF";"11404000";"Solution for haemodialysis";"Current"
"PDF";"11405000";"Concentrate for solution for haemodialysis";"Current"
"PDF";"11501000";"Solution for intravesical use";"Deprecated"
"PDF";"11502000";"Bladder irrigation";"Current"
"PDF";"11502500";"Intravesical solution";"Current"
"PDF";"11503000";"Powder for bladder irrigation";"Current"
"PDF";"11504000";"Urethral gel";"Current"
"PDF";"11505000";"Urethral stick";"Current"
"PDF";"11601000";"Endotracheopulmonary instillation, solution";"Current"
"PDF";"11602000";"Endotracheopulmonary instillation, powder for solution";"Current"
"PDF";"11603000";"Endotracheopulmonary instillation, suspension";"Current"
"PDF";"11701000";"Endocervical gel";"Current"
"PDF";"11901000";"Intrauterine delivery system";"Current"
"PDF";"12100500";"Absorbable coated sponge";"Rejected"
"PDF";"12101000";"Denture lacquer";"Current"
"PDF";"12102000";"Anticoagulant and preservative solution for blood";"Current"
"PDF";"12103000";"Solution for blood fraction modification";"Current"
"PDF";"12104000";"Wound stick";"Current"
"PDF";"12105000";"Radiopharmaceutical precursor";"Current"
"PDF";"12106000";"Radionuclide generator";"Current"
"PDF";"12107000";"Kit for radiopharmaceutical preparation";"Current"
"PDF";"12108000";"Gastroenteral solution";"Current"
"PDF";"12109000";"Dispersion";"Deprecated"
"PDF";"12109900";"Frozen solution for sealant";"Rejected"
"PDF";"12110000";"Gastroenteral suspension";"Current"
"PDF";"12111000";"Gastroenteral emulsion";"Current"
"PDF";"12111500";"Intraperitoneal solution";"Current"
"PDF";"12112000";"Solution for organ preservation";"Current"
"PDF";"12113000";"Irrigation solution";"Current"
"PDF";"12114000";"Stomach irrigation";"Current"
"PDF";"12115000";"Sealant";"Current"
"PDF";"12115100";"Sealant matrix";"Current"
"PDF";"12115200";"Sealant powder";"Current"
"PDF";"12115500";"Solution for perfusion of organs";"Rejected"
"PDF";"12117000";"Impregnated pad";"Current"
"PDF";"12117500";"Impregnated plug";"Current"
"PDF";"12118000";"Living tissue equivalent";"Current"
"PDF";"12119000";"Medicated sponge";"Current"
"PDF";"12120000";"Intestinal gel";"Current"
"PDF";"12130000";"Medicated thread";"Current"
"PDF";"12131000";"Solution for provocation test";"Current"
"PDF";"12301000";"Medicinal gas, compressed";"Current"
"PDF";"12302000";"Medicinal gas, cryogenic";"Current"
"PDF";"12303000";"Medicinal gas, liquefied";"Current"
"PDF";"13001000";"Concentrate for concentrate for solution for infusion";"Current"
"PDF";"13002000";"Concentrate for nebuliser solution";"Current"
"PDF";"13003000";"Concentrate for oromucosal solution";"Current"
"PDF";"13004000";"Concentrate for suspension for injection";"Current"
"PDF";"13005000";"Dispersion for concentrate for dispersion for infusion";"Current"
"PDF";"13006000";"Ear drops, powder for suspension";"Current"
"PDF";"13007000";"Effervescent granules for oral suspension";"Current"
"PDF";"13008000";"Emulsion for emulsion for injection";"Current"
"PDF";"13009000";"Endotracheopulmonary instillation, powder for suspension";"Current"
"PDF";"13010000";"Eye drops, powder for solution";"Current"
"PDF";"13011000";"Eye drops, powder for suspension";"Current"
"PDF";"13012000";"Gas for dispersion for infusion";"Current"
"PDF";"13013000";"Gas for dispersion for injection";"Current"
"PDF";"13014000";"Gel for gel";"Current"
"PDF";"13015000";"Granules for rectal suspension";"Current"
"PDF";"13016000";"Laryngopharyngeal solution";"Current"
"PDF";"13017000";"Laryngopharyngeal spray, solution";"Current"
"PDF";"13018000";"Matrix for implantation matrix";"Current"
"PDF";"13020000";"Nasal drops, powder for solution";"Current"
"PDF";"13021000";"Powder for gel";"Current"
"PDF";"13022000";"Powder for dental gel";"Current"
"PDF";"13023000";"Powder for dispersion for injection";"Current"
"PDF";"13024000";"Powder for endocervical gel";"Current"
"PDF";"13025000";"Powder for endosinusial solution";"Current"
"PDF";"13026000";"Powder for gingival gel";"Current"
"PDF";"13027000";"Powder for implantation matrix";"Current"
"PDF";"13028000";"Powder for implantation paste";"Current"
"PDF";"13029000";"Powder for intraocular instillation solution";"Current"
"PDF";"13031000";"Powder for sealant";"Current"
"PDF";"13032000";"Powder for solution for skin-prick test";"Current"
"PDF";"13033000";"Solution for solution for injection";"Current"
"PDF";"13034000";"Solution for spray";"Pending"
"PDF";"13035000";"Solvent for...";"Current"
"PDF";"13036000";"Suspension for emulsion for injection";"Current"
"PDF";"13037000";"Suspension for oral suspension";"Current"
"PDF";"13038000";"Suspension for spray";"Pending"
"PDF";"13039000";"Suspension for suspension for injection";"Current"
"PDF";"13040000";"Powder for emulsion for injection";"Current"
"PDF";"13041000";"Endosinusial solution";"Current"
"PDF";"13042000";"Epilesional solution";"Current"
"PDF";"13043000";"Implantation paste";"Current"
"PDF";"13044000";"Intraocular instillation solution";"Current"
"PDF";"13045000";"Intravesical suspension";"Current"
"PDF";"13046000";"Coated granules";"Current"
"PDF";"13047000";"Solution for suspension for injection";"Current"
"PDF";"13048000";"Granules for suspension for injection";"Current"
"PDF";"13049000";"Dispersion for injection/infusion";"Current"
"PDF";"13050000";"Gas for dispersion for injection/infusion";"Current"
"PDF";"13051000";"Solution for injection/skin-prick test";"Current"
"PDF";"13052000";"Powder for solution for injection/skin-prick test";"Current"
"PDF";"13058000";"Caplet";"Rejected"
"PDF";"13061000";"Solution for solution for infusion";"Current"
"PDF";"13066000";"Tablet for cutaneous solution";"Current"
"PDF";"13076000";"Prolonged-release solution for injection";"Current"
"PDF";"13077000";"Urethral emulsion";"Current"
"PDF";"13091000";"Emulsion for suspension for injection";"Current"
"PDF";"13102000";"Transdermal ointment";"Current"
"PDF";"13105000";"Sublingual powder";"Current"
"PDF";"13106000";"Oral herbal material";"Current"
"PDF";"13107000";"Solution for cardioplegia/organ preservation";"Current"
"PDF";"13111000";"Powder for vaginal solution";"Current"
"PDF";"13113000";"Intrauterine gel";"Current"
"PDF";"13115000";"Medicinal leech";"Current"
"PDF";"13118000";"Tablet with sensor";"Current"
"PDF";"13123000";"Urethral ointment";"Current"
"PDF";"13124000";"Medicinal larvae";"Current"
"PDF";"13126000";"Prolonged-release dispersion for injection";"Current"
"PDF";"13127000";"Sublingual lyophilisate";"Current"
"PDF";"13128000";"Prolonged-release wound solution";"Current"
"PDF";"13129000";"Nebuliser dispersion";"Current"
"PDF";"13133000";"Gastro-resistant oral suspension";"Current"
"PDF";"13134000";"Prolonged-release oral suspension";"Current"
"PDF";"13135000";"Modified-release oral suspension";"Current"
"PDF";"13136000";"Gastro-resistant powder for oral suspension";"Deprecated"
"PDF";"13139000";"Concentrate for dispersion for injection";"Current"
"PDF";"13140000";"Cutaneous/oromucosal solution";"Current"
"PDF";"13141000";"Oromucosal pouch";"Current"
"PDF";"13145000";"Impregnated cutaneous swab";"Current"
"PDF";"13148000";"Prolonged-release pessary";"Current"
"PDF";"13149000";"Oromucosal film";"Current"
"PDF";"13152000";"Concentrate for emulsion for injection";"Current"
"PDF";"13154000";"Film-coated granules";"Current"
"PDF";"13159000";"Eye drops, prolonged-release solution";"Current"
"PDF";"13162000";"Concentrate for cutaneous emulsion";"Current"
"PDF";"13164000";"Mucosal spray, solution";"Rejected"
"PDF";"13165000";"Suspension for gel";"Current"
"PDF";"13167000";"Oromucosal drops, emulsion";"Current"
"PDF";"13168000";"Oromucosal drops, solution";"Current"
"PDF";"13169000";"Oromucosal drops, suspension";"Current"
"PDF";"13175000";"Prolonged-release chewable tablet";"Current"
"PDF";"13176000";"Powder for prolonged-release oral suspension";"Current"
"PDF";"13177000";"Granules for gastro-resistant oral suspension";"Current"
"PDF";"13178000";"Powder for gastro-resistant oral suspension";"Current"
"PDF";"13179000";"Granules for modified-release oral suspension";"Current"
"PDF";"13180000";"Granules for prolonged-release oral suspension";"Current"
"PDF";"13184000";"Powder for solution for provocation test";"Current"
"PDF";"13186000";"Implantation gel";"Current"
"PDF";"13187000";"Dispersion for implantation gel";"Current"
"PDF";"13188000";"Solution for implantation gel";"Current"
"PDF";"13190000";"Intracameral implant";"Current"
"PDF";"13191000";"Intravitreal implant";"Current"
"PDF";"30047500";"Pouch";"Deprecated"
"PDF";"50001000";"Chewable/dispersible tablet";"Current"
"PDF";"50009000";"Concentrate for cutaneous spray, emulsion";"Current"
"PDF";"50009300";"Concentrate for dispersion for infusion";"Current"
"PDF";"50009500";"Concentrate for emulsion for infusion";"Current"
"PDF";"50009750";"Concentrate for intravesical solution";"Current"
"PDF";"50010000";"Concentrate for oral solution";"Current"
"PDF";"50011000";"Concentrate for oral/rectal solution";"Current"
"PDF";"50012000";"Concentrate for peritoneal dialysis solution";"Deprecated"
"PDF";"50013000";"Concentrate for solution for intravesical use";"Deprecated"
"PDF";"50013250";"Concentrate for solution for peritoneal dialysis";"Current"
"PDF";"50014000";"Concentrate for suspension for infusion";"Deprecated"
"PDF";"50015000";"Cutaneous and nasal ointment";"Deprecated"
"PDF";"50015100";"Cutaneous/ear drops suspension";"Deprecated"
"PDF";"50015200";"Cutaneous/nasal ointment";"Current"
"PDF";"50015300";"Cutaneous/oromucosal/oral solution";"Rejected"
"PDF";"50015400";"Cutaneous/oromucosal spray";"Rejected"
"PDF";"50015450";"Cutaneous solution/concentrate for oromucosal solution";"Current"
"PDF";"50015500";"Cutaneous spray, emulsion";"Current"
"PDF";"50016000";"Cutaneous spray, ointment";"Current"
"PDF";"50017000";"Dental paste";"Current"
"PDF";"50017500";"Dispersion for infusion";"Current"
"PDF";"50018000";"Ear/eye drops, solution";"Current"
"PDF";"50018500";"Ear/eye drops, suspension";"Current"
"PDF";"50019000";"Ear/eye ointment";"Current"
"PDF";"50019500";"Ear/eye/nasal drops, solution";"Current"
"PDF";"50020000";"Ear/eye/nose drops, solution";"Deprecated"
"PDF";"50020200";"Ear/nasal drops, suspension";"Current"
"PDF";"50020500";"Effervescent buccal tablet";"Rejected"
"PDF";"50021000";"Emulsion for injection/infusion";"Current"
"PDF";"50022000";"Endosinusial wash, suspension";"Current"
"PDF";"50023500";"Film coated gastro-resistant tablet";"Rejected"
"PDF";"50024000";"Gargle/mouthwash";"Current"
"PDF";"50024500";"Gargle/nasal wash";"Current"
"PDF";"50025000";"Gastro-resistant coated tablet";"Deprecated"
"PDF";"50026000";"Gastro-resistant granules for oral suspension";"Deprecated"
"PDF";"50026250";"Gastro-resistant prolonged-release tablet";"Deprecated"
"PDF";"50028000";"Granules for oral and rectal suspension";"Deprecated"
"PDF";"50029000";"Granules for oral drops, solution";"Deprecated"
"PDF";"50029150";"Granules for oral/rectal suspension";"Current"
"PDF";"50029500";"Granules for vaginal solution";"Current"
"PDF";"50029600";"Hard capsule with gastro-resistant pellets";"Rejected"
"PDF";"50029800";"Inhalation impregnated pad";"Deprecated"
"PDF";"50030000";"Inhalation powder, tablet";"Current"
"PDF";"50031000";"Inhalation vapour, effervescent tablet";"Current"
"PDF";"50032000";"Inhalation vapour, emulsion";"Current"
"PDF";"50033000";"Inhalation vapour, impregnated pad";"Current"
"PDF";"50033100";"Inhalation vapour, impregnated plug";"Current"
"PDF";"50033400";"Intravesical solution/solution for injection";"Current"
"PDF";"50034000";"Liquefied gas for dental use";"Deprecated"
"PDF";"50035000";"Modified-release film-coated tablet";"Deprecated"
"PDF";"50036000";"Modified-release granules for oral suspension";"Deprecated"
"PDF";"50036050";"Mouthwash, powder for solution";"Current"
"PDF";"50036100";"Muco-adhesive buccal prolonged-release tablet";"Rejected"
"PDF";"50036500";"Nasal/oromucosal solution";"Current"
"PDF";"50036700";"Nasal/oromucosal spray, solution";"Current"
"PDF";"50037000";"Nasal spray and oromucosal solution";"Deprecated"
"PDF";"50037100";"Nasal spray, powder for solution";"Current"
"PDF";"50037400";"Nasal spray, solution/oromucosal solution";"Current"
"PDF";"50037500";"Oral drops, granules for solution";"Current"
"PDF";"50037750";"Oral drops, liquid";"Current"
"PDF";"50037900";"Oral/rectal solution";"Current"
"PDF";"50038000";"Oral/rectal suspension";"Current"
"PDF";"50038500";"Oral solution/concentrate for nebuliser solution";"Current"
"PDF";"50039000";"Oromucosal patch";"Current"
"PDF";"50039500";"Oromucosal/laryngopharyngeal solution";"Current"
"PDF";"50040000";"Oromucosal/laryngopharyngeal solution/spray";"Deprecated"
"PDF";"50040500";"Oromucosal/laryngopharyngeal solution/spray, solution";"Current"
"PDF";"50043000";"Powder for concentrate for solution for infusion";"Current"
"PDF";"50048750";"Powder for concentrate for dispersion for infusion";"Current"
"PDF";"50049000";"Powder for concentrate for haemodialysis solution";"Deprecated"
"PDF";"50049100";"Powder for concentrate for intravesical suspension";"Current"
"PDF";"50049200";"Powder for concentrate for solution for haemodialysis";"Current"
"PDF";"50049250";"Powder for concentrate for solution for injection/infusion";"Current"
"PDF";"50049270";"Powder for dental solution";"Current"
"PDF";"50049300";"Powder for epilesional solution";"Current"
"PDF";"50049500";"Powder for implantation suspension";"Current"
"PDF";"50050000";"Powder for intravesical solution";"Current"
"PDF";"50050500";"Powder for intravesical solution/solution for injection";"Current"
"PDF";"50051000";"Powder for intravesical suspension";"Current"
"PDF";"50051100";"Powder for mouth wash";"Deprecated"
"PDF";"50051500";"Powder for nebuliser solution/solution for injection/infusion";"Rejected"
"PDF";"50052000";"Powder for oral/rectal suspension";"Current"
"PDF";"50053000";"Powder for solution for injection or infusion";"Deprecated"
"PDF";"50053500";"Powder for solution for injection/infusion";"Current"
"PDF";"50054000";"Powder for solution for intravesical use";"Deprecated"
"PDF";"50055000";"Powder for solution for nasal spray";"Deprecated"
"PDF";"50055150";"Powder for solution/suspension for injection";"Deprecated"
"PDF";"50055500";"Prolonged-release film-coated tablet";"Rejected"
"PDF";"50056000";"Prolonged-release granules for oral suspension";"Deprecated"
"PDF";"50056500";"Radiopharmaceutical precursor, solution";"Current"
"PDF";"50057000";"Solution for haemodialysis/haemofiltration";"Current"
"PDF";"50058000";"Solution for infusion and oral solution";"Deprecated"
"PDF";"50059000";"Solution for injection/concentrate for solution for infusion";"Rejected"
"PDF";"50060000";"Solution for injection/infusion";"Current"
"PDF";"50060700";"Solution for injection/infusion/rectal use";"Rejected"
"PDF";"50061000";"Solution for intraperitoneal use";"Deprecated"
"PDF";"50061500";"Solution for sealant";"Current"
"PDF";"50061600";"Solvent for nasal use";"Rejected"
"PDF";"50063000";"Suspension for infusion";"Deprecated"
"PDF";"50066000";"Tablet for oral suspension";"Deprecated"
"PDF";"50073000";"Powder for solution for intraocular irrigation";"Current"
"PDF";"50073500";"Solution for intraocular irrigation";"Current"
"PDF";"50074000";"Solvent for solution for intraocular irrigation";"Current"
"PDF";"50076000";"Solvent for solution for infusion";"Current"
"PDF";"50077000";"Dispersion for injection";"Current"
"PDF";"50079000";"Concentrate for solution for injection/infusion";"Current"
