# 2024-05-29
# This is a hand-crafted list providing synonyms for EDQM Standard Terms
"SYNONYM";"TARGETCODE";"NAME"
"Manteltbl., magensaftresistent";"PDF-10225000";"Gastro-resistant tablet"
"Manteltbl., magensaftres.";"PDF-10225000";"Gastro-resistant tablet"
"Pulver + Lsgmittel. z. Herst. einer Inf.-Lsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver + Lsg.-Mittel. z. Herst. einer Inf.-Lsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver + Lsgmittel. zur Herst. einer Inf.-Lsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver + Lsg.-Mittel. zur Herst. einer Inf.-Lsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver + Lsgmittel. z. Herst. einer Infusionslösung";"PDF-11212000";"Powder for solution for infusion"
"Pulver + Lsg.-Mittel. z. Herst. einer Infusionslösung";"PDF-11212000";"Powder for solution for infusion"
"Pulver + Lsgmittel. zur Herst. einer Infusionslösung";"PDF-11212000";"Powder for solution for infusion"
"Pulver + Lsg.-Mittel. zur Herst. einer Infusionslösung";"PDF-11212000";"Powder for solution for infusion"
"Pulver + Lsgmittel. z. Herst. einer Infusionslsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver + Lsg.-Mittel. z. Herst. einer Infusionslsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver + Lsgmittel. zur Herst. einer Infusionslsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver + Lsg.-Mittel. zur Herst. einer Infusionslsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver und Lsgmittel. z. Herst. einer Inf.-Lsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver und Lsg.-Mittel. z. Herst. einer Inf.-Lsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver und Lsgmittel. zur Herst. einer Inf.-Lsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver und Lsg.-Mittel. zur Herst. einer Inf.-Lsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver und Lsgmittel. z. Herst. einer Infusionslösung";"PDF-11212000";"Powder for solution for infusion"
"Pulver und Lsg.-Mittel. z. Herst. einer Infusionslösung";"PDF-11212000";"Powder for solution for infusion"
"Pulver und Lsgmittel. zur Herst. einer Infusionslösung";"PDF-11212000";"Powder for solution for infusion"
"Pulver und Lsg.-Mittel. zur Herst. einer Infusionslösung";"PDF-11212000";"Powder for solution for infusion"
"Pulver und Lsgmittel. z. Herst. einer Infusionslsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver und Lsg.-Mittel. z. Herst. einer Infusionslsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver und Lsgmittel. zur Herst. einer Infusionslsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver und Lsg.-Mittel. zur Herst. einer Infusionslsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver u. Lsgmittel. z. Herst. einer Inf.-Lsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver u. Lsg.-Mittel. z. Herst. einer Inf.-Lsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver u. Lsgmittel. zur Herst. einer Inf.-Lsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver u. Lsg.-Mittel. zur Herst. einer Inf.-Lsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver u. Lsgmittel. z. Herst. einer Infusionslösung";"PDF-11212000";"Powder for solution for infusion"
"Pulver u. Lsg.-Mittel. z. Herst. einer Infusionslösung";"PDF-11212000";"Powder for solution for infusion"
"Pulver u. Lsgmittel. zur Herst. einer Infusionslösung";"PDF-11212000";"Powder for solution for infusion"
"Pulver u. Lsg.-Mittel. zur Herst. einer Infusionslösung";"PDF-11212000";"Powder for solution for infusion"
"Pulver u. Lsgmittel. z. Herst. einer Infusionslsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver u. Lsg.-Mittel. z. Herst. einer Infusionslsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver u. Lsgmittel. zur Herst. einer Infusionslsg.";"PDF-11212000";"Powder for solution for infusion"
"Pulver u. Lsg.-Mittel. zur Herst. einer Infusionslsg.";"PDF-11212000";"Powder for solution for infusion"
"Tablette, magensaftresistent";"PDF-10225000";"Gastro-resistant tablet"
"Tbl., magensaftresistent";"PDF-10225000";"Gastro-resistant tablet"
"Tablette, magensaftres.";"PDF-10225000";"Gastro-resistant tablet"
"Tbl., magensaftres.";"PDF-10225000";"Gastro-resistant tablet"
"Emulsion zur Anwendung auf der Haut";"PDF-10516000";"Cutaneous emulsion"
"Emulsion zur Anw. auf der Haut";"PDF-10516000";"Cutaneous emulsion"
"Emuls. zur Anw. auf der Haut";"PDF-10516000";"Cutaneous emulsion"
"Emuls. zur Anw. auf d. Haut";"PDF-10516000";"Cutaneous emulsion"
"Emuls. z. Anw. auf d. Haut";"PDF-10516000";"Cutaneous emulsion"
"Lösung zum Einnehmen";"PDF-10105000";"Oral solution"
"Lösung z. Einnehmen";"PDF-10105000";"Oral solution"
"Lsg. zum Einnehmen";"PDF-10105000";"Oral solution"
"Lsg. z. Einnehmen";"PDF-10105000";"Oral solution"
"Infusions-Suspension";"PDF-50063000";"Suspension for infusion"
"Infusionssusp.";"PDF-50063000";"Suspension for infusion"
"Inf.-Susp.";"PDF-50063000";"Suspension for infusion"
"Injektions-Suspension";"PDF-11202000";"Suspension for injection"
"Injektionssusp.";"PDF-50063000";"Suspension for infusion"
"Inj.-Susp.";"PDF-11202000";"Suspension for injection"
"Retarddragee";"PDF-10226000";"Prolonged-release tablet"
"Retarddrg.";"PDF-10226000";"Prolonged-release tablet"
"Suspension zum Einnehmen";"PDF-10106000";"Oral suspension"
"Susp. zum Einnehmen";"PDF-10106000";"Oral suspension"
"Susp. z. Einnehmen";"PDF-10106000";"Oral suspension"
"Trinktbl.-Tabs";"PDF-10120000";"Soluble tablet"
"Drg., magensaftres.";"PDF-10225000";"Gastro-resistant tablet"
"Dragee, magensaftres.";"PDF-10225000";"Gastro-resistant tablet"
"Dragee, magensaftresistent";"PDF-10225000";"Gastro-resistant tablet"
"Schaum zur Anwendung auf der Haut";"PDF-10507000";"Cutaneous foam"
"Schaum zur Anw. auf der Haut";"PDF-10507000";"Cutaneous foam"
"Gas zur medizin. Anw., verflüssigt";"PDF-12303000";"Medicinal gas, liquefied"
"Gas zur med. Anw., verflüssigt";"PDF-12303000";"Medicinal gas, liquefied"
"Schmelztablette";"PDF-10223000";"Orodispersible tablet"
"Schmelztbl.";"PDF-10223000";"Orodispersible tablet"
"Retard-Filmtbl.";"PDF-10226000";"Prolonged-release tablet"
"Retard-Filmtablette";"PDF-10226000";"Prolonged-release tablet"
"Gas u. Lösungsm. zur Herst. e. Inj.-/Inf.-Dispersion";"PDF-13050000";"Gas for dispersion for injection/infusion"
"Gas u. Lösungsm. z. Herst. e. Inj.-/Inf.-Dispersion";"PDF-13050000";"Gas for dispersion for injection/infusion"
"Gas und Lösungsm. zur Herst. e. Inj.-/Inf.-Dispersion";"PDF-13050000";"Gas for dispersion for injection/infusion"
"Gas und Lösungsm. z. Herst. e. Inj.-/Inf.-Dispersion";"PDF-13050000";"Gas for dispersion for injection/infusion"
"Gas + Lösungsm. zur Herst. e. Inj.-/Inf.-Dispersion";"PDF-13050000";"Gas for dispersion for injection/infusion"
"Gas + Lösungsm. z. Herst. e. Inj.-/Inf.-Dispersion";"PDF-13050000";"Gas for dispersion for injection/infusion"
"Gas + Lösungsm. zur Herst. e. Inj.-/Inf.-Dispersion";"PDF-13050000";"Gas for dispersion for injection/infusion"
"Gas + Lösungsm. z. Herst. e. Inj.-/Inf.-Dispersion";"PDF-13050000";"Gas for dispersion for injection/infusion"
"Emuls. zum Einnehmen";"PDF-10107000";"Oral emulsion"
"Emuls. z. Einnehmen";"PDF-10107000";"Oral emulsion"
"Lutschpastille";"PDF-10321000";"Lozenge"
"Lutschpast.";"PDF-10321000";"Lozenge"
"Filmtbl., magensaftres.";"PDF-10225000";"Gastro-resistant tablet"
"Filmtablette, magensaftres.";"PDF-10225000";"Gastro-resistant tablet"
"Pulver zur Herst. e. Inj.-Dispersion";"PDF-13023000";"Powder for dispersion for injection"
"Pulver zur Herst. einer Inj.-Dispersion";"PDF-13023000";"Powder for dispersion for injection"
"Pulver z. Herst. e. Inj.-Dispersion";"PDF-13023000";"Powder for dispersion for injection"
"Pulver z. Herst. einer Inj.-Dispersion";"PDF-13023000";"Powder for dispersion for injection"
"Susp. zur Anw. auf der Haut";"PDF-10515000";"Cutaneous suspension"
"Susp. z. Anw. auf der Haut";"PDF-10515000";"Cutaneous suspension"
"Rektalsusp.";"PDF-11006000";"Rectal suspension"
"Rektalschaum";"PDF-11004000";"Rectal foam"
"Lösung zur Anw. in d. Mundhöhle";"PDF-10305000";"Oromucosal solution"
"Lösung z. Anw. in d. Mundhöhle";"PDF-10305000";"Oromucosal solution"
"Gran. zur Herst. e. Lsg. zum Einnehmen";"PDF-10112000";"Granules for oral solution"
"Gran. z. Herst. e. Lsg. zum Einnehmen";"PDF-10112000";"Granules for oral solution"
"Pulver zur Herst. e. Lsg. zum Einnehmen";"PDF-10110000";"Powder for oral solution"
"Pulver z. Herst. e. Lsg. zum Einnehmen";"PDF-10110000";"Powder for oral solution"
"Pulver zur Herst. e. Gurgellsg.";"PDF-10303000";"Gargle, powder for solution"
"Pulver z. Herst. e. Gurgellsg.";"PDF-10303000";"Gargle, powder for solution"
"Susp. zur Anw. in . Mundhöhle";"PDF-10306000";"Oromucosal suspension"
"Susp. z. Anw. in . Mundhöhle";"PDF-10306000";"Oromucosal suspension"
"Susp. zur Anw. in der Mundhöhle";"PDF-10306000";"Oromucosal suspension"
"Susp. z. Anw. in der Mundhöhle";"PDF-10306000";"Oromucosal suspension"
"Spray zur Anw. in d. Mundhöhle, Lösung";"PDF-10308200";"Oromucosal spray, solution"
"Spray z. Anw. in d. Mundhöhle, Lösung";"PDF-10308200";"Oromucosal spray, solution"
"Spray zur Anw. in der Mundhöhle, Lösung";"PDF-10308200";"Oromucosal spray, solution"
"Spray z. Anw. in der Mundhöhle, Lösung";"PDF-10308200";"Oromucosal spray, solution"
"Spray zur Anw. in d. Mundhöhle, Lsg.";"PDF-10308200";"Oromucosal spray, solution"
"Spray z. Anw. in d. Mundhöhle, Lsg.";"PDF-10308200";"Oromucosal spray, solution"
"Spray zur Anw. in der Mundhöhle, Lsg.";"PDF-10308200";"Oromucosal spray, solution"
"Spray z. Anw. in der Mundhöhle, Lsg.";"PDF-10308200";"Oromucosal spray, solution"
"Lösung zur intravesikalen Anw.";"PDF-11502500";"Intravesical solution"
"Lösung z. intravesikalen Anw.";"PDF-11502500";"Intravesical solution"
"Gel zur Anw. in der Harnröhre";"PDF-11504000";"Urethral gel"
"Gel z. Anw. in der Harnröhre";"PDF-11504000";"Urethral gel"
"Pulver zur Herst. e. Inj.-Lsg.";"PDF-11205000";"Powder for solution for injection"
"Pulver z. Herst. e. Inj.-Lsg.";"PDF-11205000";"Powder for solution for injection"
"Pulver zur Herst. e. Inj.-Susp.";"PDF-11206000";"Powder for suspension for injection"
"Pulver z. Herst. e. Inj.-Susp.";"PDF-11206000";"Powder for suspension for injection"
"Konz. zur Herst. e. Inf.-Lsg.";"PDF-11213000";"Concentrate for solution for infusion"
"Konz. z. Herst. e. Inf.-Lsg.";"PDF-11213000";"Concentrate for solution for infusion"
"Konz. und Lsgm. zur Herst. e. Inf.-Lsg.";"PDF-11213000";"Concentrate for solution for infusion"
"Konz. und Lsgm. z. Herst. e. Inf.-Lsg.";"PDF-11213000";"Concentrate for solution for infusion"
"Konz. u. Lsgm. zur Herst. e. Inf.-Lsg.";"PDF-11213000";"Concentrate for solution for infusion"
"Konz. u. Lsgm. z. Herst. e. Inf.-Lsg.";"PDF-11213000";"Concentrate for solution for infusion"
"Konz. + Lsgm. zur Herst. e. Inf.-Lsg.";"PDF-11213000";"Concentrate for solution for infusion"
"Konz. + Lsgm. z. Herst. e. Inf.-Lsg.";"PDF-11213000";"Concentrate for solution for infusion"
"Spray zur Anw. auf d. Haut, Lösung";"PDF-10509000";"Cutaneous spray, solution"
"Spray z. Anw. auf d. Haut, Lösung";"PDF-10509000";"Cutaneous spray, solution"
"Spray zur Anw. auf d. Haut, Lsg.";"PDF-10509000";"Cutaneous spray, solution"
"Spray z. Anw. auf d. Haut, Lsg.";"PDF-10509000";"Cutaneous spray, solution"
"Augentropfensuspension";"PDF-10605000";"Eye drops, suspension"
"Augentropfensusp.";"PDF-10605000";"Eye drops, suspension"
"Pulver zur Herst. e. Dentalzements";"PDF-10413000";"Powder for dental cement"
"Pulver z. Herst. e. Dentalzements";"PDF-10413000";"Powder for dental cement"
"Pulver zur Herst. e. Blasenspüllösung";"PDF-11503000";"Powder for bladder irrigation"
"Pulver z. Herst. e. Blasenspüllösung";"PDF-11503000";"Powder for bladder irrigation"
"SL-Drg.";"PDF-10318000";"Sublingual tablet"
"SL-Dragee";"PDF-10318000";"Sublingual tablet"
"SL-Tablette";"PDF-10318000";"Sublingual tablet"
"SL-Tbl.";"PDF-10318000";"Sublingual tablet"
"Gran. zur Herst. e. Susp. zum Einnehmen";"PDF-10113000";"Granules for oral suspension"
"Gran. z. Herst. e. Susp. zum Einnehmen";"PDF-10113000";"Granules for oral suspension"
"Gran. zur Herst. e. Susp. z. Einnehmen";"PDF-10113000";"Granules for oral suspension"
"Gran. z. Herst. e. Susp. z. Einnehmen";"PDF-10113000";"Granules for oral suspension"
"Emuls. zur Inj.";"PDF-11203000";"Emulsion for injection"
"Emuls. z. Inj.";"PDF-11203000";"Emulsion for injection"
"Emuls. zur Inf.";"PDF-11211000";"Emulsion for infusion"
"Emuls. z. Inf.";"PDF-11211000";"Emulsion for infusion"
"Gran., magensaftres.";"PDF-10206000";"Gastro-resistant granules"
"Mikrotbl., magensaftresistent";"PDF-10206000";"Gastro-resistant granules"
"Mikrotabletten, magensaftresistent";"PDF-10206000";"Gastro-resistant granules"
"Tbl. zur Herst. einer Lsg. zur Anw. auf der Haut";"PDF-13066000";"Tablet for cutaneous solution"
"Tbl. z. Herst. einer Lsg. zur Anw. auf der Haut";"PDF-13066000";"Tablet for cutaneous solution"
"Tbl. zur Herst. einer Lsg. z. Anw. auf der Haut";"PDF-13066000";"Tablet for cutaneous solution"
"Tbl. z. Herst. einer Lsg. z. Anw. auf der Haut";"PDF-13066000";"Tablet for cutaneous solution"
"Tbl. zur Herst. e. Lsg. zur Anw. auf der Haut";"PDF-13066000";"Tablet for cutaneous solution"
"Tbl. z. Herst. e. Lsg. zur Anw. auf der Haut";"PDF-13066000";"Tablet for cutaneous solution"
"Tbl. zur Herst. e. Lsg. z. Anw. auf der Haut";"PDF-13066000";"Tablet for cutaneous solution"
"Tbl. z. Herst. e. Lsg. z. Anw. auf der Haut";"PDF-13066000";"Tablet for cutaneous solution"
"Pulver und Lsgm. z. Herst. e. Inj.-Susp.";"PDF-11206000";"Powder for suspension for injection"
"Pulver und Lsgm. zur Herst. e. Inj.-Susp.";"PDF-11206000";"Powder for suspension for injection"
"Pulver u. Lsgm. z. Herst. e. Inj.-Susp.";"PDF-11206000";"Powder for suspension for injection"
"Pulver u. Lsgm. zur Herst. e. Inj.-Susp.";"PDF-11206000";"Powder for suspension for injection"
"Pulver + Lsgm. z. Herst. e. Inj.-Susp.";"PDF-11206000";"Powder for suspension for injection"
"Pulver + Lsgm. zur Herst. e. Inj.-Susp.";"PDF-11206000";"Powder for suspension for injection"
"Pulver zur Herst. e. Susp. zum Einnehmen";"PDF-10111000";"Powder for oral suspension"
"Pulver z. Herst. e. Susp. zum Einnehmen";"PDF-10111000";"Powder for oral suspension"
"Pulver zur Inh.";"PDF-11109000";"Inhalation powder"
"Pulver z. Inh.";"PDF-11109000";"Inhalation powder"
"Augen-/Ohrentropfen, Lsg.";"PDF-50018000";"Ear/eye drops, solution"
"Retardgran.";"PDF-10207000";"Prolonged-release granules"
"Retardgranülen";"PDF-10207000";"Prolonged-release granules"
"Konz. zur Herst. e. Susp. zum Einnehmen";"PDF-10100500";"Concentrate for oral suspension"
"Konz. z. Herst. e. Susp. zum Einnehmen";"PDF-10100500";"Concentrate for oral suspension"
"Konz. zur Herst. e. Susp. z. Einnehmen";"PDF-10100500";"Concentrate for oral suspension"
"Konz. z. Herst. e. Susp. z. Einnehmen";"PDF-10100500";"Concentrate for oral suspension"
"Susp. für e. Vernebler";"PDF-11102000";"Nebuliser suspension"
"Konz. zur Herst. einer Inj-Lsg.";"PDF-11209000";"Concentrate for solution for injection"
"Konz. z. Herst. einer Inj-Lsg.";"PDF-11209000";"Concentrate for solution for injection"
"Konz. zur Herst. e. Inj-Lsg.";"PDF-11209000";"Concentrate for solution for injection"
"Konz. z. Herst. e. Inj-Lsg.";"PDF-11209000";"Concentrate for solution for injection"
"Flüssigk. zur Anw. auf der Haut";"PDF-10512000";"Cutaneous liquid"
"Flüssigk. z. Anw. auf der Haut";"PDF-10512000";"Cutaneous liquid"
"Flüssigk. zur Anw. auf d. Haut";"PDF-10512000";"Cutaneous liquid"
"Flüssigk. z. Anw. auf d. Haut";"PDF-10512000";"Cutaneous liquid"
"Konz. zur Herst. einer Inj.-Susp.";"PDF-13004000";"Concentrate for suspension for injection"
"Konz. z. Herst. einer Inj.-Susp.";"PDF-13004000";"Concentrate for suspension for injection"
"Konz. zur Herst. e. Inj.-Susp.";"PDF-13004000";"Concentrate for suspension for injection"
"Konz. z. Herst. e. Inj.-Susp.";"PDF-13004000";"Concentrate for suspension for injection"
"Konz. zur Herst. einer Inj.-Dispersion";"PDF-13139000";"Concentrate for dispersion for injection"
"Konz. z. Herst. einer Inj.-Dispersion";"PDF-13139000";"Concentrate for dispersion for injection"
"Konz. zur Herst. e. Inj.-Dispersion";"PDF-13139000";"Concentrate for dispersion for injection"
"Konz. z. Herst. e. Inj.-Dispersion";"PDF-13139000";"Concentrate for dispersion for injection"
"Konz. zur Herst. einer Inj.-Disp.";"PDF-13139000";"Concentrate for dispersion for injection"
"Konz. z. Herst. einer Inj.-Disp.";"PDF-13139000";"Concentrate for dispersion for injection"
"Konz. zur Herst. e. Inj.-Disp.";"PDF-13139000";"Concentrate for dispersion for injection"
"Konz. z. Herst. e. Inj.-Disp.";"PDF-13139000";"Concentrate for dispersion for injection"
"Konz. zur Herst. einer Lösung zum Einnehmen";"PDF-50010000";"Concentrate for oral solution"
"Konz. z. Herst. einer Lösung zum Einnehmen";"PDF-50010000";"Concentrate for oral solution"
"Konz. zur Herst. e. Lösung zum Einnehmen";"PDF-50010000";"Concentrate for oral solution"
"Konz. z. Herst. e. Lösung zum Einnehmen";"PDF-50010000";"Concentrate for oral solution"
"Konz. zur Herst. einer Lösung z. Einnehmen";"PDF-50010000";"Concentrate for oral solution"
"Konz. z. Herst. einer Lösung z. Einnehmen";"PDF-50010000";"Concentrate for oral solution"
"Konz. zur Herst. e. Lösung z. Einnehmen";"PDF-50010000";"Concentrate for oral solution"
"Konz. z. Herst. e. Lösung z. Einnehmen";"PDF-50010000";"Concentrate for oral solution"
"Pulver zur Herst. einer Inj.-/Inf.-Lsg.";"PDF-50053500";"Powder for solution for injection/infusion"
"Pulver z. Herst. einer Inj.-/Inf.-Lsg.";"PDF-50053500";"Powder for solution for injection/infusion"
"Pulver zur Herst. e. Inj.-/Inf.-Lsg.";"PDF-50053500";"Powder for solution for injection/infusion"
"Pulver z. Herst. e. Inj.-/Inf.-Lsg.";"PDF-50053500";"Powder for solution for injection/infusion"
"Konz. zur Herst. einer Inj.-/Inf.-Lsg.";"PDF-50079000";"Concentrate for solution for injection/infusion"
"Konz. z. Herst. einer Inj.-/Inf.-Lsg.";"PDF-50079000";"Concentrate for solution for injection/infusion"
"Konz. zur Herst. e. Inj.-/Inf.-Lsg.";"PDF-50079000";"Concentrate for solution for injection/infusion"
"Konz. z. Herst. e. Inj.-/Inf.-Lsg.";"PDF-50079000";"Concentrate for solution for injection/infusion"
"Inj.-Dispersion";"PDF-50077000";"Dispersion for injection"
"Inj.-Disp.";"PDF-50077000";"Dispersion for injection"
"Granulat, überzogenes";"PDF-13154000";"Film-coated granules"
"Gran., überzogenes";"PDF-13154000";"Film-coated granules"
"Granulat, überzogen";"PDF-13154000";"Film-coated granules"
"Gran., überzogen";"PDF-13154000";"Film-coated granules"
"Konz. zur Herst. einer Inf.-Dispersion";"PDF-50009300";"Concentrate for dispersion for infusion"
"Konz. z. Herst. einer Inf.-Dispersion";"PDF-50009300";"Concentrate for dispersion for infusion"
"Konz. zur Herst. e. Inf.-Dispersion";"PDF-50009300";"Concentrate for dispersion for infusion"
"Konz. z. Herst. e. Inf.-Dispersion";"PDF-50009300";"Concentrate for dispersion for infusion"
"Konz. zur Herst. einer Inf.-Disp.";"PDF-50009300";"Concentrate for dispersion for infusion"
"Konz. z. Herst. einer Inf.-Disp.";"PDF-50009300";"Concentrate for dispersion for infusion"
"Konz. zur Herst. e. Inf.-Disp.";"PDF-50009300";"Concentrate for dispersion for infusion"
"Konz. z. Herst. e. Inf.-Disp.";"PDF-50009300";"Concentrate for dispersion for infusion"
"Ohrentropfen, Lösung";"PDF-10704000";"Ear drops, solution"
"Ohrentropfen, Lsg.";"PDF-10704000";"Ear drops, solution"
"Augentropfen, Lösung";"PDF-10604000";"Eye drops, solution"
"Augentropfen, Lsg.";"PDF-10604000";"Eye drops, solution"
"Tbl. zur Herst. einer Lsg. zum  Einnehmen";"PDF-10120000";"Soluble tablet"
"Tbl. z. Herst. einer Lsg. zum  Einnehmen";"PDF-10120000";"Soluble tablet"
"Tbl. zur Herst. e. Lsg. zum  Einnehmen";"PDF-10120000";"Soluble tablet"
"Tbl. z. Herst. e. Lsg. zum  Einnehmen";"PDF-10120000";"Soluble tablet"
"Tbl. zur Herst. einer Lsg. z.  Einnehmen";"PDF-10120000";"Soluble tablet"
"Tbl. z. Herst. einer Lsg. z.  Einnehmen";"PDF-10120000";"Soluble tablet"
"Tbl. zur Herst. e. Lsg. z.  Einnehmen";"PDF-10120000";"Soluble tablet"
"Tbl. z. Herst. e. Lsg. z.  Einnehmen";"PDF-10120000";"Soluble tablet"
"Augentropfen, Emulsion";"PDF-10604500";"Eye drops, emulsion"
"Augentropfen, Emul.";"PDF-10604500";"Eye drops, emulsion"
"Hartkapsel zur vag. Anw.";"PDF-10910000";"Vaginal capsule, hard"
"Gran. zur Herst. einer Injektionssusp.";"PDF-13048000";"Granules for suspension for injection"
"Gran. z. Herst. einer Injektionssusp.";"PDF-13048000";"Granules for suspension for injection"
"Gran. zur Herst. e. Injektionssusp.";"PDF-13048000";"Granules for suspension for injection"
